Language,CountryCode,IsOfficial,Percentage
Portuguese,CPV,T,0.0
Chibcha,CRI,F,0.3
Chinese,CRI,F,0.2
Creole English,CRI,F,2.0
Spanish,CRI,T,97.5
Spanish,CUB,T,100.0
Chinese,CXR,F,0.0
English,CXR,T,0.0
English,CYM,T,0.0
Greek,CYP,T,74.1
Turkish,CYP,T,22.4
Czech,CZE,T,81.2
German,CZE,F,0.5
Hungarian,CZE,F,0.2
Moravian,CZE,F,12.9
Polish,CZE,F,0.6
Romani,CZE,F,0.3
Silesiana,CZE,F,0.4
Slovak,CZE,F,3.1
German,DEU,T,91.3
Greek,DEU,F,0.4
Italian,DEU,F,0.7
Polish,DEU,F,0.3
Southern Slavic Languages,DEU,F,1.4
Turkish,DEU,F,2.6
Afar,DJI,F,34.8
Arabic,DJI,T,10.6
Somali,DJI,F,43.9
Creole English,DMA,F,100.0
Creole French,DMA,F,0.0
Arabic,DNK,F,0.7
Danish,DNK,T,93.5
English,DNK,F,0.3
German,DNK,F,0.5
Norwegian,DNK,F,0.3
Swedish,DNK,F,0.3
Turkish,DNK,F,0.8
Creole French,DOM,F,2.0
Spanish,DOM,T,98.0
Arabic,DZA,T,86.0
Berberi,DZA,F,14.0
Ket??ua,ECU,F,7.0
Spanish,ECU,T,93.0
Arabic,EGY,T,98.8
Sinaberberi,EGY,F,0.0
Afar,ERI,F,4.3
Bilin,ERI,F,3.0
Hadareb,ERI,F,3.8
Saho,ERI,F,3.0
Tigre,ERI,F,31.7
Tigrinja,ERI,T,49.1
Arabic,ESH,T,100.0
Basque,ESP,F,1.6
Catalan,ESP,F,16.9
Galecian,ESP,F,6.4
Spanish,ESP,T,74.4
Belorussian,EST,F,1.4
Estonian,EST,T,65.3
Finnish,EST,F,0.7
Russian,EST,F,27.8
Ukrainian,EST,F,2.8
Amhara,ETH,F,30.0
Gurage,ETH,F,4.7
Oromo,ETH,F,31.0
Sidamo,ETH,F,3.2
Somali,ETH,F,4.1
Tigrinja,ETH,F,7.2
Walaita,ETH,F,2.8
Estonian,FIN,F,0.2
Finnish,FIN,T,92.7
Russian,FIN,F,0.4
Saame,FIN,F,0.0
Swedish,FIN,T,5.7
Fijian,FJI,T,50.8
Hindi,FJI,F,43.7
English,FLK,T,0.0
Arabic,FRA,F,2.5
French,FRA,T,93.6
Italian,FRA,F,0.4
Portuguese,FRA,F,1.2
Spanish,FRA,F,0.4
Turkish,FRA,F,0.4
Danish,FRO,T,0.0
Faroese,FRO,T,100.0
Kosrean,FSM,F,7.3
Mortlock,FSM,F,7.6
Pohnpei,FSM,F,23.8
Trukese,FSM,F,41.6
Wolea,FSM,F,3.7
Yap,FSM,F,5.8
Fang,GAB,F,35.8
Mbete,GAB,F,13.8
Mpongwe,GAB,F,14.6
Punu-sira-nzebi,GAB,F,17.1
English,GBR,T,97.3
Gaeli,GBR,F,0.1
Kymri,GBR,F,0.9
Abhyasi,GEO,F,1.7
Armenian,GEO,F,6.8
Azerbaijani,GEO,F,5.5
Georgiana,GEO,T,71.7
Osseetti,GEO,F,2.4
Russian,GEO,F,8.8
Akan,GHA,F,52.4
Ewe,GHA,F,11.9
Ga-adangme,GHA,F,7.8
Gurma,GHA,F,3.3
Joruba,GHA,F,1.3
Mossi,GHA,F,15.8
Arabic,GIB,F,7.4
English,GIB,T,88.9
Ful,GIN,F,38.6
Kissi,GIN,F,6.0
Kpelle,GIN,F,4.6
Loma,GIN,F,2.3
Malinke,GIN,F,23.2
Susu,GIN,F,11.0
Yalunka,GIN,F,2.9
Creole French,GLP,F,95.0
French,GLP,T,0.0
Diola,GMB,F,9.2
Ful,GMB,F,16.2
Malinke,GMB,F,34.1
Soninke,GMB,F,7.6
Wolof,GMB,F,12.6
Balante,GNB,F,14.6
Crioulo,GNB,F,36.4
Ful,GNB,F,16.6
Malinke,GNB,F,6.9
Mandyako,GNB,F,4.9
Portuguese,GNB,T,8.1
Bubi,GNQ,F,8.7
Fang,GNQ,F,84.8
Greek,GRC,T,98.5
Turkish,GRC,F,0.9
Creole English,GRD,F,100.0
Danish,GRL,T,12.5
Greenlandic,GRL,T,87.5
Cakchiquel,GTM,F,8.9
Kekch??,GTM,F,4.9
Mam,GTM,F,2.7
Quich??,GTM,F,10.1
Spanish,GTM,T,64.7
Creole French,GUF,F,94.3
Indian Languages,GUF,F,1.9
Chamorro,GUM,T,29.6
English,GUM,T,37.5
Japanese,GUM,F,2.0
Korean,GUM,F,3.3
Philippene Languages,GUM,F,19.7
Arawakan,GUY,F,1.4
Caribbean,GUY,F,2.2
Creole English,GUY,F,96.4
Canton Chinese,HKG,F,88.7
Chiu chau,HKG,F,1.4
English,HKG,T,2.2
Fukien,HKG,F,1.9
Hakka,HKG,F,1.6
Creole English,HND,F,0.2
Garifuna,HND,F,1.3
Miskito,HND,F,0.2
Spanish,HND,T,97.2
Serbo-Croatian,HRV,T,95.9
Slovene,HRV,F,0.0
French,HTI,T,0.0
Haiti Creole,HTI,F,100.0
German,HUN,F,0.4
Hungarian,HUN,T,98.5
Romani,HUN,F,0.5
Romanian,HUN,F,0.1
Serbo-Croatian,HUN,F,0.2
Slovak,HUN,F,0.1
Bali,IDN,F,1.7
Banja,IDN,F,1.8
Batakki,IDN,F,2.2
Bugi,IDN,F,2.2
Javanese,IDN,F,39.4
Madura,IDN,F,4.3
Malay,IDN,T,12.1
Minangkabau,IDN,F,2.4
Sunda,IDN,F,15.8
Asami,IND,F,1.5
Bengali,IND,F,8.2
Gujarati,IND,F,4.8
Hindi,IND,T,39.9
Kannada,IND,F,3.9
Malajalam,IND,F,3.6
Marathi,IND,F,7.4
Orija,IND,F,3.3
Punjabi,IND,F,2.8
Tamil,IND,F,6.3
Telugu,IND,F,7.8
Urdu,IND,F,5.1
English,IRL,T,98.4
Irish,IRL,T,1.6
Arabic,IRN,F,2.2
Azerbaijani,IRN,F,16.8
Bakhtyari,IRN,F,1.7
Balochi,IRN,F,2.3
Gilaki,IRN,F,5.3
Kurdish,IRN,F,9.1
Luri,IRN,F,4.3
Mazandarani,IRN,F,3.6
Persian,IRN,T,45.7
Turkmenian,IRN,F,1.6
Arabic,IRQ,T,77.2
Assyrian,IRQ,F,0.8
Azerbaijani,IRQ,F,1.7
Kurdish,IRQ,F,19.0
Persian,IRQ,F,0.8
English,ISL,F,0.0
Icelandic,ISL,T,95.7
