Language,CountryCode,IsOfficial,Percentage
Russian,UZB,F,10.9
Tadzhik,UZB,F,4.4
Tatar,UZB,F,1.8
Uzbek,UZB,T,72.6
Italian,VAT,T,0.0
Creole English,VCT,F,99.1
English,VCT,T,0.0
Goajiro,VEN,F,0.4
Spanish,VEN,T,96.9
Warrau,VEN,F,0.1
English,VGB,T,0.0
English,VIR,T,81.7
French,VIR,F,2.5
Spanish,VIR,F,13.3
Chinese,VNM,F,1.4
Khmer,VNM,F,1.4
Man,VNM,F,0.7
Miao,VNM,F,0.9
Muong,VNM,F,1.5
Nung,VNM,F,1.1
Thai,VNM,F,1.6
Tho,VNM,F,1.8
Vietnamese,VNM,T,86.8
Bislama,VUT,T,56.6
English,VUT,T,28.3
French,VUT,T,14.2
Futuna,WLF,F,0.0
Wallis,WLF,F,0.0
English,WSM,T,0.6
Samoan,WSM,T,47.5
Samoan-English,WSM,F,52.0
Arabic,YEM,T,99.6
Soqutri,YEM,F,0.0
Albaniana,YUG,F,16.5
Hungarian,YUG,F,3.4
Macedonian,YUG,F,0.5
Romani,YUG,F,1.4
Serbo-Croatian,YUG,T,75.2
Slovak,YUG,F,0.7
Afrikaans,ZAF,T,14.3
English,ZAF,T,8.5
Ndebele,ZAF,F,1.5
Northsotho,ZAF,F,9.1
Southsotho,ZAF,F,7.6
Swazi,ZAF,F,2.5
Tsonga,ZAF,F,4.3
Tswana,ZAF,F,8.1
Venda,ZAF,F,2.2
Xhosa,ZAF,T,17.7
Zulu,ZAF,T,22.7
Bemba,ZMB,F,29.7
Chewa,ZMB,F,5.7
Lozi,ZMB,F,6.4
Nsenga,ZMB,F,4.3
Nyanja,ZMB,F,7.8
Tongan,ZMB,F,11.0
English,ZWE,T,2.2
Ndebele,ZWE,F,16.2
Nyanja,ZWE,F,2.2
Shona,ZWE,F,72.1
